Date,Price
1456059600000,7.71
1456063200000,4.95
1456066800000,7.69
1456070400000,14.34
1456074000000,18.61
1456077600000,18.2
1456081200000,12.0
1456084800000,12.64
1456088400000,13.94
1456092000000,9.31
1456095600000,-4.93
1456099200000,-4.98
1456102800000,-5.08
1456106400000,-1.02
1456110000000,-0.97
1456113600000,7.63
1456117200000,18.05
1456120800000,26.38
1456124400000,27.92
1456128000000,23.97
1456131600000,23.11
1456135200000,23.93
1456138800000,24.0
1456142400000,24.52
1456146000000,23.98
1456149600000,23.91
1456153200000,23.92
1456156800000,27.93
1456160400000,40.13
1456164000000,39.45
1456167600000,29.37
1456171200000,24.69
1456174800000,25.08
1456178400000,19.56
1456182000000,17.81
1456185600000,14.28
1456189200000,17.23
1456192800000,17.47
1456196400000,17.83
1456200000000,19.15
1456203600000,27.32
1456207200000,30.62
1456210800000,31.9
1456214400000,31.09
1456218000000,29.19
1456221600000,30.68
1456225200000,25.92
1456228800000,24.96
1456232400000,23.9
1456236000000,24.13
1456239600000,24.36
1456243200000,30.08
1456246800000,36.75
1456250400000,29.94
1456254000000,22.96
1456257600000,23.23
1456261200000,19.76
1456264800000,17.9
1456268400000,18.04
1456272000000,16.59
1456275600000,13.61
1456279200000,13.66
1456282800000,17.43
1456286400000,18.92
1456290000000,23.15
1456293600000,33.69
1456297200000,30.99
1456300800000,25.04
1456304400000,23.41
1456308000000,22.56
1456311600000,22.03
1456315200000,22.05
1456318800000,22.56
1456322400000,24.0
1456326000000,25.05
1456329600000,31.96
1456333200000,35.68
1456336800000,36.41
1456340400000,30.51
1456344000000,23.97
1456347600000,22.96
1456351200000,20.56
1456354800000,24.04
1456358400000,22.58
1456362000000,21.26
1456365600000,20.09
1456369200000,19.94
1456372800000,21.7
1456376400000,27.19
1456380000000,36.04
1456383600000,38.29
1456387200000,34.44
1456390800000,32.12
1456394400000,30.44
1456398000000,26.55
1456401600000,26.01
1456405200000,25.0
1456408800000,24.78
1456412400000,25.39
1456416000000,31.16
1456419600000,39.91
1456423200000,36.51
1456426800000,31.54
1456430400000,25.2
1456434000000,25.1
1456437600000,23.84
1456441200000,21.66
1456444800000,21.69
1456448400000,21.11
1456452000000,20.0
1456455600000,21.02
1456459200000,22.07
1456462800000,27.35
1456466400000,32.93
1456470000000,36.08
1456473600000,33.48
1456477200000,31.68
1456480800000,29.5
1456484400000,27.47
1456488000000,25.06
1456491600000,24.0
1456495200000,25.11
1456498800000,26.94
1456502400000,33.98
1456506000000,39.94
1456509600000,37.55
1456513200000,31.18
1456516800000,26.35
1456520400000,26.86
1456524000000,25.0
1456527600000,26.94
1456531200000,23.02
1456534800000,21.77
1456538400000,19.76
1456542000000,19.83
1456545600000,20.16
1456549200000,21.18
1456552800000,22.76
1456556400000,25.71
1456560000000,26.79
1456563600000,23.24
1456567200000,21.17
1456570800000,19.92
1456574400000,19.49
1456578000000,19.68
1456581600000,19.93
1456585200000,20.21
1456588800000,24.97
1456592400000,32.04
1456596000000,31.91
1456599600000,25.72
1456603200000,21.74
1456606800000,23.1
1456610400000,20.98
1456614000000,19.9
1456617600000,18.39
1456621200000,18.01
1456624800000,17.62
1456628400000,17.31
1456632000000,17.46
1456635600000,17.51
1456639200000,17.58
1456642800000,17.9
1456646400000,19.02
1456650000000,19.01
1456653600000,19.02
1456657200000,16.6
1456660800000,14.06
1456664400000,12.45
1456668000000,12.21
1456671600000,13.26
1456675200000,19.11
1456678800000,24.6
1456682400000,26.98
1456686000000,21.81
1456689600000,19.9
1456693200000,20.44
1456696800000,19.93
1456700400000,19.12
1456704000000,17.77
1456707600000,17.6
1456711200000,16.77
1456714800000,17.01
1456718400000,18.49
1456722000000,28.23
1456725600000,34.72
1456729200000,32.96
1456732800000,27.99
1456736400000,24.92
1456740000000,23.48
1456743600000,22.77
1456747200000,22.2
1456750800000,22.0
1456754400000,22.24
1456758000000,22.57
1456761600000,26.58
1456765200000,34.03
1456768800000,31.21
1456772400000,27.14
1456776000000,23.04
1456779600000,22.55
1456783200000,19.29
1456786800000,22.48
1456790400000,22.08
1456794000000,19.87
1456797600000,19.13
1456801200000,19.33
1456804800000,20.18
1456808400000,25.59
1456812000000,32.93
1456815600000,37.86
1456819200000,34.95
1456822800000,31.9
1456826400000,30.06
1456830000000,28.8
1456833600000,27.96
1456837200000,25.55
1456840800000,25.48
1456844400000,23.97
1456848000000,26.95
1456851600000,26.0
1456855200000,22.63
1456858800000,21.26
1456862400000,19.52
1456866000000,18.39
1456869600000,17.06
1456873200000,10.58
1456876800000,13.56
1456880400000,12.69
1456884000000,12.62
1456887600000,13.27
1456891200000,15.85
1456894800000,21.45
1456898400000,23.08
1456902000000,25.96
1456905600000,24.68
1456909200000,26.7
1456912800000,28.0
1456916400000,27.43
1456920000000,26.0
1456923600000,25.92
1456927200000,28.06
1456930800000,28.56
1456934400000,31.99
1456938000000,40.0
1456941600000,36.87
1456945200000,30.99
1456948800000,27.07
1456952400000,24.27
1456956000000,21.58
1456959600000,20.02
1456963200000,19.29
1456966800000,18.64
1456970400000,17.93
1456974000000,18.26
1456977600000,19.38
1456981200000,24.58
1456984800000,30.93
1456988400000,31.04
1456992000000,30.94
1456995600000,30.57
1456999200000,31.94
1457002800000,30.07
1457006400000,30.53
1457010000000,30.06
1457013600000,30.97
1457017200000,30.96
1457020800000,32.85
1457024400000,42.71
1457028000000,42.92
1457031600000,33.98
1457035200000,28.97
1457038800000,25.92
1457042400000,23.11
1457046000000,22.15
1457049600000,20.03
1457053200000,19.75
1457056800000,19.19
1457060400000,18.99
1457064000000,20.18
1457067600000,26.92
1457071200000,31.73
1457074800000,33.97
1457078400000,30.04
1457082000000,26.69
1457085600000,23.78
1457089200000,22.48
1457092800000,21.78
1457096400000,21.86
1457100000000,22.48
1457103600000,24.17
1457107200000,29.2
1457110800000,33.99
1457114400000,31.06
1457118000000,27.9
1457121600000,23.52
1457125200000,23.8
1457128800000,21.55
1457132400000,19.15
1457136000000,19.17
1457139600000,19.04
1457143200000,18.96
1457146800000,18.88
1457150400000,19.01
1457154000000,19.16
1457157600000,20.75
1457161200000,24.55
1457164800000,26.9
1457168400000,24.78
1457172000000,24.63
1457175600000,24.25
1457179200000,21.14
1457182800000,20.42
1457186400000,20.57
1457190000000,21.25
1457193600000,25.92
1457197200000,34.02
1457200800000,35.0
1457204400000,27.86
1457208000000,24.44
1457211600000,25.18
1457215200000,20.0
1457218800000,20.69
1457222400000,19.94
1457226000000,19.13
1457229600000,18.69
1457233200000,18.58
1457236800000,18.83
1457240400000,18.65
1457244000000,18.78
1457247600000,19.28
1457251200000,19.99
1457254800000,20.26
1457258400000,20.51
1457262000000,20.02
1457265600000,19.14
1457269200000,18.24
1457272800000,18.23
1457276400000,18.73
1457280000000,20.57
1457283600000,28.93
1457287200000,31.62
1457290800000,29.17
1457294400000,25.44
1457298000000,27.44
1457301600000,21.15
1457305200000,22.04
1457308800000,22.05
1457312400000,20.34
1457316000000,20.02
1457319600000,20.09
1457323200000,21.87
1457326800000,32.34
1457330400000,35.97
1457334000000,37.79
1457337600000,33.07
1457341200000,31.98
1457344800000,29.96
1457348400000,27.98
1457352000000,27.44
1457355600000,27.72
1457359200000,27.1
1457362800000,30.07
1457366400000,33.97
1457370000000,48.29
1457373600000,46.65
1457377200000,30.03
1457380800000,27.95
1457384400000,26.96
1457388000000,24.47
1457391600000,22.39
1457395200000,22.91
1457398800000,22.81
1457402400000,22.0
1457406000000,21.67
1457409600000,22.7
1457413200000,27.44
1457416800000,37.73
1457420400000,39.08
1457424000000,34.98
1457427600000,28.61
1457431200000,25.42
1457434800000,25.1
1457438400000,24.64
1457442000000,24.81
1457445600000,25.09
1457449200000,27.92
1457452800000,33.1
1457456400000,44.93
1457460000000,40.58
1457463600000,31.94
1457467200000,25.07
1457470800000,27.2
1457474400000,22.61
1457478000000,23.8
1457481600000,22.03
1457485200000,20.94
1457488800000,20.08
1457492400000,20.01
1457496000000,21.14
1457499600000,24.95
1457503200000,31.92
1457506800000,29.91
1457510400000,25.03
1457514000000,23.43
1457517600000,23.85
1457521200000,22.28
1457524800000,21.96
1457528400000,22.48
1457532000000,23.05
1457535600000,24.83
1457539200000,33.0
1457542800000,38.77
1457546400000,37.99
1457550000000,29.81
1457553600000,25.8
1457557200000,27.51
1457560800000,23.41
1457564400000,19.72
1457568000000,20.17
1457571600000,20.04
1457575200000,20.16
1457578800000,20.94
1457582400000,21.6
1457586000000,28.48
1457589600000,35.44
1457593200000,31.99
1457596800000,30.07
1457600400000,25.53
1457604000000,24.71
1457607600000,26.35
1457611200000,25.0
1457614800000,25.0
1457618400000,24.89
1457622000000,25.03
1457625600000,29.95
1457629200000,35.49
1457632800000,37.79
1457636400000,30.02
1457640000000,25.31
1457643600000,22.72
1457647200000,21.32
1457650800000,22.03
1457654400000,20.85
1457658000000,21.03
1457661600000,21.06
1457665200000,21.75
1457668800000,22.39
1457672400000,28.34
1457676000000,34.47
1457679600000,38.34
1457683200000,36.69
1457686800000,32.91
1457690400000,31.98
1457694000000,29.81
1457697600000,27.03
1457701200000,25.01
1457704800000,24.92
1457708400000,24.88
1457712000000,27.9
1457715600000,32.55
1457719200000,35.69
1457722800000,30.33
1457726400000,26.77
1457730000000,28.2
1457733600000,25.21
1457737200000,29.01
1457740800000,26.1
1457744400000,25.69
1457748000000,24.5
1457751600000,23.26
1457755200000,24.5
